Code du département;Libellé du département;Code INSEE;Nom de la commune;Numéro de la fiche équipement;Nombre d'équipements identiques;Activité code;Activité libellé;Activité praticable;Activité pratiquée;Dans salle spécialisable;Niveau de l'activité - Classif.;localisation
44;Loire-Atlantique;44077;Joué-sur-Erdre;288251;1;1701;Canoë de randonnée;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.5092437538, -1.42943494948
44;Loire-Atlantique;44017;Bonnoeuvre;288270;1;1701;Canoë de randonnée;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.5197897111, -1.2316486796
44;Loire-Atlantique;44092;Massérac;288296;1;6001;Pétanque et jeu provencal;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.6758102411, -1.90458344966
44;Loire-Atlantique;44002;Aigrefeuille-sur-Maine;288494;1;1701;Canoë de randonnée;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.0719256611, -1.41556455507
44;Loire-Atlantique;44024;Brains;288503;1;1701;Canoë de randonnée;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.1701591492, -1.72606479691
44;Loire-Atlantique;44045;Cordemais;288544;1;2401;Danses par Couple (Danses de compétition);Oui;Oui;Non;Entrainement;47.2968036073, -1.8357108105
44;Loire-Atlantique;44045;Cordemais;288544;1;3401;Gymnastique Artistique;Oui;Oui;Non;Scolaire;47.2968036073, -1.8357108105
44;Loire-Atlantique;44045;Cordemais;288544;1;4301;Judo / Jujitsu / Taïso;Oui;Oui;Non;Scolaire;47.2968036073, -1.8357108105
44;Loire-Atlantique;44045;Cordemais;288544;1;4401;Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...;Oui;Oui;Non;Scolaire;47.2968036073, -1.8357108105
44;Loire-Atlantique;44045;Cordemais;288544;1;8001;Tennis de table;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.2968036073, -1.8357108105
44;Loire-Atlantique;44045;Cordemais;288544;1;8901;Activités de forme et de santé;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.2968036073, -1.8357108105
44;Loire-Atlantique;44077;Joué-sur-Erdre;288602;1;5501;Pêche au coup en eau douce;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.5092437538, -1.42943494948
44;Loire-Atlantique;44057;Fégréac;288606;1;7901;Tennis;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.5805909749, -2.02458187409
44;Loire-Atlantique;44069;Guérande;288663;1;5501;Pêche au coup en eau douce;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.3313320913, -2.41703658813
