Code du département;Département;Code INSEE;Nom de la commune;Numéro de l'installation;Nom usuel de l'installation;Numero de la voie;Nom de la voie;Nom du lieu dit;Code postal;Installation particulière;Multi commune;Nombre de couvert;Nombre de lit;Présence d'un internet;Aucun aménagement d'accessibilité;Accessibilité handicapés à mobilité réduite;Accessibilité handicapés sensoriels;Nombre total de place de parking;Nombre total de place de parking handicapés;Gardiennée avec ou sans logement de gardien;Emprise foncière en m2;Desserte métro;Desserte bus;Desserte Tram;Desserte train;Desserte bateau;Desserte autre;Date de création de la fiche installation;Date de mise à jour de la fiche installation;Nombre total de fiches équipements;Nombre total d'équipements sportifs;localisation1;localisation2;localisation
44;Loire-Atlantique;44004;Anetz;440040002;Complexe Sportif de la Cour;;Rue de Port Arthur;;44150;Complexe sportif;Non;0;0;Non;Oui;Non;Non;150;0;Non;25000;Non;Non;Non;Non;Non;Non;2005-02-08;2014-06-10;6;7;;47.3812710821, -1.0932910037;47.3812710821, -1.0932910037
44;Loire-Atlantique;44013;Besné;440130003;Site de la Passerelle;;;La Passerelle;44160;Non;Non;0;0;Non;Non;Oui;Non;0;0;Non;;Non;Non;Non;Non;Non;Non;2005-11-15;2015-05-22;1;1;47.396934, -2.091816;47.3800629578, -2.07409913989;47.396934, -2.091816
44;Loire-Atlantique;44006;Assérac;440060009;Baie de Keravelo;;;Kéravelo;44410;Non;Non;0;0;Non;Oui;Non;Non;10;0;Non;;Non;Non;Non;Non;Non;Non;2010-01-09;2014-05-22;1;1;47.428529, -2.391296;47.4379772072, -2.41272577216;47.428529, -2.391296
44;Loire-Atlantique;44015;Blain;440150018;Site du Terrier;;;Le Terrier;44130;Non;Non;0;0;Non;Oui;Non;Non;0;0;Non;;Non;Non;Non;Non;Non;Non;2008-04-04;2015-09-10;1;1;47.47577, -1.764085;47.4628210409, -1.76789479614;47.47577, -1.764085
44;Loire-Atlantique;44009;Basse-Goulaine;440090007;Etang de la Croix Rouge;;;;44115;Non;Non;0;0;Non;Oui;Non;Non;20;0;Non;;Non;Non;Non;Non;Non;Non;2005-12-21;2015-07-05;1;1;47.215304, -1.465696;47.2120137336, -1.46246852595;47.215304, -1.465696
44;Loire-Atlantique;44011;Belligné;440110003;Courts de Tennis;;Les Terriers;;44370;Non;Non;0;0;Non;Oui;Non;Non;0;0;Non;;Non;Non;Non;Non;Non;Non;2005-02-08;2014-10-15;1;2;;47.4785440295, -1.02618318963;47.4785440295, -1.02618318963
72;Sarthe;72266;Saint-Aubin-de-Locquenay;722660003;Terrain de Pétanque;;Rue de la Martinière;;72130;Non;Non;0;0;Non;Non;Oui;Non;0;0;Non;;Non;Non;Non;Non;Non;Non;2005-03-08;2013-09-18;1;1;48.272764, 0.023799;48.2582927988, 0.00918330836218;48.272764, 0.023799
72;Sarthe;72266;Saint-Aubin-de-Locquenay;722660005;Terrain Multisports;;Rue du Moulin;;72130;Non;Non;0;0;Non;Non;Oui;Non;0;0;Non;;Non;Non;Non;Non;Non;Non;2016-01-13;2016-06-04;1;1;48.271043, 0.026133;48.2582927988, 0.00918330836218;48.271043, 0.026133
72;Sarthe;72269;Saint-Calais;722690002;Stade d'Athlétisme Armel Blanchard;;Rue de la Cormillère;;72120;Complexe sportif;Non;0;0;Non;Non;Oui;Non;20;0;Sans logement de gardien;;Non;Non;Non;Non;Non;Non;2005-02-08;2017-07-13;1;1;47.926513, 0.74337;47.9250578354, 0.747660967628;47.926513, 0.74337
72;Sarthe;72269;Saint-Calais;722690003;Ecole Paul Bert Groupe Scolaire Courtille;;;La Courtille;72120;Etablissement scolaire;Non;0;0;Non;Oui;Non;Non;10;0;Non;;Non;Non;Non;Non;Non;Non;2008-08-22;2017-07-13;5;6;47.9196, 0.742445;47.9250578354, 0.747660967628;47.9196, 0.742445
72;Sarthe;72269;Saint-Calais;722690007;Ecole Maternelle Docteur Olivier;;Rue du Docteur Olivier;;72120;Etablissement scolaire;Non;100;0;Non;Oui;Non;Non;20;0;Non;50;Non;Non;Non;Non;Non;Non;2011-01-07;2015-07-17;1;1;47.920059, 0.742248;47.9250578354, 0.747660967628;47.920059, 0.742248
72;Sarthe;72269;Saint-Calais;722690016;Collège Privé Frère André;1;Avenue du Docteur Leroy;;72120;Non;Non;0;0;Non;Non;Oui;Non;50;1;Sans logement de gardien;;Non;Non;Non;Non;Non;Non;2005-10-08;2017-07-13;1;1;47.913342, 0.745219;47.9250578354, 0.747660967628;47.913342, 0.745219
72;Sarthe;72271;Saint-Célerin;722710002;Espace Jeux;;Rue de Torcé;;72110;Non;Non;0;0;Non;Oui;Non;Non;0;0;Non;;Non;Non;Non;Non;Non;Non;2009-07-15;2017-07-13;1;1;48.12476, 0.428968;48.1258397672, 0.433533893718;48.12476, 0.428968
72;Sarthe;72273;Saint-Christophe-du-Jambet;722730002;Circuits de Randonnée;;Place de l'Eglise;;72170;Non;Non;0;0;Non;Oui;Non;Non;20;0;Non;;Non;Non;Non;Non;Non;Non;2005-09-11;2013-09-27;5;5;48.231816, 0.036629;48.2343278617, 0.0606617233123;48.231816, 0.036629
72;Sarthe;72276;Saint-Cosme-en-Vairais;722760002;Cours de Tennis;;Rue Rolland Garros;;72110;Non;Non;0;0;Non;Non;Oui;Non;12;0;Non;;Non;Non;Non;Non;Non;Non;2005-02-08;2017-07-13;2;3;48.273012, 0.466691;48.2744377482, 0.457973879241;48.273012, 0.466691
72;Sarthe;72276;Saint-Cosme-en-Vairais;722760006;Départ de Circuits de Randonnée;;Place Saint Damien;;72110;Non;Non;0;0;Non;Non;Oui;Non;20;2;Non;;Non;Non;Non;Non;Non;Non;2005-11-18;2015-10-11;8;8;48.273556, 0.460041;48.2744377482, 0.457973879241;48.273556, 0.460041
72;Sarthe;72278;Saint-Denis-d'Orques;722780002;Terrain de Football;;Rue du Stade;;72350;Non;Non;0;0;Non;Non;Oui;Non;10;0;Non;0;Non;Non;Non;Non;Non;Non;2005-08-24;2017-07-13;4;4;48.029046, -0.269727;48.0311233627, -0.275648536634;48.029046, -0.269727
72;Sarthe;72278;Saint-Denis-d'Orques;722780006;Plan d'Eau de la Cordelière;;La Cordelière;;72350;Non;Non;0;0;Non;Oui;Non;Non;0;0;Non;15000;Non;Non;Non;Non;Non;Non;2010-04-16;2017-07-13;1;1;48.023615, -0.287024;48.0311233627, -0.275648536634;48.023615, -0.287024
72;Sarthe;72280;Saint-Georges-du-Bois;722800003;Départ de Circuits de Randonnées;;Place de l'Église;;72700;Non;Non;0;0;Non;Oui;Non;Non;10;1;Non;;Non;Non;Non;Non;Non;Non;2005-08-25;2017-07-17;3;3;47.972561, 0.099647;47.9720668662, 0.101201029384;47.972561, 0.099647
72;Sarthe;72281;Saint-Georges-du-Rosay;722810003;Circuit de Randonnée;;Place de la Bascule;Place de l'Église;72110;Non;Non;0;0;Non;Oui;Non;Non;10;0;Non;;Non;Non;Non;Non;Non;Non;2005-12-20;2013-09-16;1;1;48.19984, 0.500796;48.1996205131, 0.523209464167;48.19984, 0.500796
72;Sarthe;72282;Saint-Georges-le-Gaultier;722820001;Terrain de Loisirs;;Rue de la Gare;;72130;Non;Non;0;0;Non;Non;Oui;Non;5;0;Non;;Non;Non;Non;Non;Non;Non;2005-02-08;2017-07-17;2;2;48.29885, -0.103333;48.2951885176, -0.110267923649;48.29885, -0.103333
72;Sarthe;72282;Saint-Georges-le-Gaultier;722820004;Viaduc St Georges le Gaultier;;;;72130;Non;Non;0;0;Non;Oui;Non;Non;5;;Non;;Non;Non;Non;Non;Non;Non;2005-10-24;2013-09-02;1;1;48.29732, -0.107551;48.2951885176, -0.110267923649;48.29732, -0.107551
72;Sarthe;72283;Saint-Germain-d'Arcé;722830002;Boules de Fort;6;Rue Principale;;72800;Non;Non;0;0;Non;Oui;Non;Non;10;0;Non;;Non;Non;Non;Non;Non;Non;2005-02-08;2017-07-17;1;1;47.624773, 0.290758;47.6279897995, 0.286031290683;47.624773, 0.290758
72;Sarthe;72283;Saint-Germain-d'Arcé;722830004;Complexe Sportif du Gué;;Rue du Gué;;72800;Non;Non;0;0;Non;Oui;Non;Non;20;1;Non;;Non;Non;Non;Non;Non;Non;2005-10-08;2017-07-17;3;4;47.623534, 0.291858;47.6279897995, 0.286031290683;47.623534, 0.291858
72;Sarthe;72286;Saint-Gervais-de-Vic;722860002;Terrain de Pétanque;;Route de Bessé;;72120;Non;Non;0;0;Non;Non;Oui;Non;10;0;Non;;Non;Non;Non;Non;Non;Non;2005-10-08;2017-07-17;1;1;47.882135, 0.751132;47.882312592, 0.733164783668;47.882135, 0.751132
72;Sarthe;72286;Saint-Gervais-de-Vic;722860003;Départ de Circuit de Randonnées;;Place de l'Église;;72120;Non;Oui;0;0;Non;Oui;Non;Non;0;0;Non;;Non;Non;Non;Non;Non;Non;2005-10-08;2017-07-17;2;2;47.883595, 0.748582;47.882312592, 0.733164783668;47.883595, 0.748582
72;Sarthe;72288;Saint-Hilaire-le-Lierru;722880001;Terrain de Pétanque;7;Rue de l'Abbaye;;72160;Non;Non;0;0;Non;Oui;Non;Non;10;0;Non;2500;Non;Non;Non;Non;Non;Non;2005-02-08;2017-07-17;1;1;;48.1088854105, 0.547901080505;48.1088854105, 0.547901080505
72;Sarthe;72289;Sainte-Jamme-sur-Sarthe;722890002;Salle de Tennis de Table;;Allée du Stade;;72380;Non;Non;0;0;Non;Oui;Non;Non;20;0;Non;;Non;Non;Non;Non;Non;Non;2005-02-08;2014-05-19;1;1;48.146477, 0.169152;48.138410724, 0.158484582373;48.146477, 0.169152
72;Sarthe;72289;Sainte-Jamme-sur-Sarthe;722890004;Complexe Sportif;;Rue Jules Ferry;;72380;Complexe sportif;Non;0;0;Non;Oui;Non;Non;50;1;Non;;Non;Non;Non;Non;Non;Non;2005-02-08;2017-07-13;6;10;48.139056, 0.164621;48.138410724, 0.158484582373;48.139056, 0.164621
72;Sarthe;72290;Saint-Jean-d'Assé;722900006;Départ de Circuits de Randonnée;;Place de l'Eglise;;72380;Non;Non;0;0;Non;Oui;Non;Non;20;2;Non;;Non;Non;Non;Non;Non;Non;2005-04-11;2017-07-17;6;6;48.150589, 0.119278;48.158356786, 0.121471172036;48.150589, 0.119278
